,A_Polarity,A_Subjectivity,Characters,Dale_Chall,Dale_Chall_Percentage,Flesch,S_Polarity,S_Subjectivity,Spache_Percentage,Weasel_Percentage,Word_Count,bin
17,0.03525846702317291,0.32837789661319067,5.010471204188482,13.335726178010471,0.4607329842931937,48.313913043478266,0.02575126262626263,0.2651199494949495,0.4005235602094241,0.015706806282722512,382,0
18,0.10446969696969696,0.5204545454545454,5.462121212121212,13.40461550802139,0.45454545454545453,23.852027863777124,0.04310754604872252,0.3229946524064171,0.4090909090909091,0.010101010101010102,396,0
21,0.04516129032258064,0.28682795698924735,4.9423076923076925,11.66218021978022,0.5631868131868132,44.5730402542373,0.031428571428571424,0.30446428571428574,0.49725274725274726,0.03296703296703297,364,0
22,0.027156907420065313,0.37836067441330595,4.866459627329193,11.736885231193927,0.5993788819875776,36.62261006289313,-0.017584325396825397,0.3636904761904762,0.5652173913043478,0.031055900621118012,322,0
0,0.12593167701863353,0.289751552795031,4.75,12.132906921944036,0.5489690721649485,38.228589918256176,0.06879960317460317,0.2074404761904762,0.48711340206185566,0.03608247422680412,388,0
1,0.23264204545454548,0.5204238816738816,4.30990099009901,10.620958745874589,0.6237623762376238,65.3129230033796,0.22490259740259738,0.45899618635332917,0.5663366336633663,0.033663366336633666,1010,0
2,0.09657287157287157,0.37896825396825395,4.854794520547945,11.683874844333749,0.5424657534246575,60.00523892773896,0.060268959435626095,0.27289682539682536,0.4986301369863014,0.01643835616438356,365,0
3,-0.0251892476892477,0.4230092430092429,5.714110429447853,13.272606820642368,0.46503067484662575,18.441809381980647,-0.018001612766318658,0.3362252886002886,0.42822085889570555,0.05030674846625767,815,0
4,0.07600340136054422,0.4347845804988662,4.418259023354564,10.870286730360935,0.5881104033970276,63.390946937919495,0.04598665223665223,0.2580788039121372,0.5753715498938429,0.055201698513800426,471,0
5,-0.020268273393273393,0.3906021062271062,5.382352941176471,13.076156862745098,0.49117647058823527,16.469691692466483,-0.008837359730216876,0.2689291528577243,0.47205882352941175,0.029411764705882353,680,0
6,0.04897707713972775,0.32360089709487294,4.9336,11.542768148148149,0.572,43.09597172523476,0.027335504909034327,0.2476745748804573,0.5344,0.0344,1250,0
7,0.19835497835497837,0.46916937229437233,4.826298701298701,11.819100793650794,0.5892857142857143,29.701401150726298,0.1596389313301078,0.40003554452083856,0.5405844155844156,0.04707792207792208,616,0
8,0.09855030721966206,0.3773905529953917,5.158322056833559,11.983459915802134,0.5358592692828146,29.33574437311779,0.08429388422035483,0.311546451914099,0.5345060893098782,0.05277401894451962,739,0
9,0.18160866910866907,0.33310439560439564,4.175675675675675,10.954310414414415,0.5923423423423423,71.0255573200993,0.10313101250601252,0.1763843795093795,0.5698198198198198,0.04054054054054054,444,0
10,0.056397124887690935,0.20611410601976643,5.137174211248285,12.080117009602196,0.5500685871056241,30.303106760055186,0.04225074829931972,0.1317415419501134,0.50480109739369,0.037037037037037035,729,0
11,0.0900313631946285,0.3113371322554996,4.7451923076923075,10.995858958724202,0.5817307692307693,55.1967926623617,0.07369408369408369,0.21025967345411795,0.5416666666666666,0.05128205128205128,624,0
12,0.10143589743589745,0.4244615384615384,5.0584958217270195,11.170959888579388,0.5933147632311978,37.42787500000003,0.07497435897435899,0.3069957264957265,0.5236768802228412,0.036211699164345405,359,0
13,-0.005428571428571432,0.37926739926739933,5.062283737024221,11.771929715843557,0.5397923875432526,36.669547965846334,0.02421428571428571,0.26461950549450547,0.5069204152249135,0.03460207612456748,578,0
14,0.12318181818181818,0.4622727272727272,4.952272727272727,12.125160606060607,0.5545454545454546,34.483955974842786,0.11174242424242424,0.3027097902097902,0.5068181818181818,0.029545454545454545,440,0
15,0.018043839758125475,0.30815797430083147,4.8532526475037825,12.279964537457277,0.529500756429652,41.609092289010334,-0.0007816798941798958,0.24035310846560845,0.4947049924357035,0.03479576399394856,661,0
