,0
0,0.44768792
1,0.36886066
2,0.3229314
3,0.42333096
4,0.33454695
5,0.33288682
6,0.5330834
7,0.2896005
8,0.14265089
9,0.38980466
10,0.6605847
11,0.54452455
12,0.6501077
13,0.18292876
14,0.57268506
15,0.8415877
16,0.86635405
17,0.62448853
18,0.7051138
19,0.47451425
20,0.46876213
21,0.7160925
22,0.6760963
23,0.69772625
24,0.84420824
25,0.19510078
26,0.9205457
27,0.72881186
28,0.50612533
29,0.9900968
30,0.6120337
31,0.8860056
32,0.9341278
33,0.8132366
34,0.6386119
35,0.9166448
36,0.95906883
37,0.9689051
38,0.55765027
39,0.8481552
40,0.8354991
41,0.8939149
42,0.97771066
43,0.9514791
44,0.9547173
45,0.9717766
46,0.9730415
47,0.95608974
48,0.9681092
49,0.9731563
50,0.9093967
51,0.9058397
52,0.8420814
53,0.8294836
54,0.8092093
55,0.82205665
56,0.8291998
57,0.9586151
58,0.9741978
59,0.9464798
60,0.9733975
61,0.47325885
62,0.47325885
63,0.029367309
64,0.92265016
65,0.94810987
66,0.029367309
67,0.029367309
68,0.9590657
69,0.8417689
70,0.9464169
71,0.8184718
72,0.8123489
73,0.56557685
74,0.78609616
75,0.4262947
76,0.78020644
77,0.5269417
78,0.826343
79,0.90213174
80,0.9447274
81,0.9634584
82,0.9530475
83,0.9175071
84,0.860482
85,0.9418071
86,0.9230914
87,0.7950837
88,0.6061663
89,0.89793295
90,0.83609474
91,0.73971343
92,0.8376518
93,0.8255236
94,0.9092051
95,0.887856
96,0.9275098
97,0.9587398
98,0.9538317
99,0.89834857
100,0.94558716
101,0.87220037
102,0.6533195
103,0.8809061
104,0.74501574
105,0.6467639
106,0.686619
107,0.9264953
108,0.9360513
109,0.7777605
110,0.029367309
111,0.9913708
112,0.029469749
113,0.4960427
114,0.9772365
115,0.3522769
116,0.967581
117,0.31978926
118,0.9662741
119,0.36004353
120,0.96698284
121,0.9714575
122,0.9704462
123,0.9193796
124,0.94669056
125,0.8950601
126,0.89306456
127,0.9128178
128,0.87541646
129,0.9708383
130,0.8286932
131,0.85952026
132,0.81799954
133,0.8455811
134,0.886454
135,0.629244
136,0.20440817
137,0.8132849
138,0.96305656
139,0.9111192
140,0.9774097
141,0.9839881
142,0.8347082
143,0.7280261
144,0.94377434
145,0.77177083
146,0.9142586
147,0.8598824
148,0.963247
149,0.7516806
150,0.34078023
151,0.9181731
152,0.41540956
153,0.59401166
154,0.9075661
155,0.846522
156,0.862379
157,0.95193356
158,0.6758989
159,0.88169
160,0.94377315
161,0.8780224
162,0.77666754
163,0.89886516
164,0.45790055
165,0.979768
166,0.87362534
167,0.92983174
168,0.92205083
169,0.85466886
170,0.79148394
171,0.94619584
172,0.90216297
173,0.9454632
174,0.88337535
175,0.4401211
176,0.59926444
177,0.9248376
178,0.41583547
179,0.47946614
180,0.3585171
181,0.5113356
182,0.44705638
183,0.43107885
184,0.9801664
185,0.97152865
186,0.6618384
187,0.71007144
188,0.96529603
189,0.9696595
190,0.029367309
191,0.9035236
192,0.884444
193,0.03621066
194,0.5510946
195,0.69873416
196,0.84171927
197,0.9948131
198,0.7227363
199,0.4360773
200,0.9434833
201,0.9827204
202,0.98476285
203,0.5906921
204,0.6479494
205,0.7575563
206,0.6306981
207,0.7654334
208,0.8135827
209,0.7663219
210,0.6971179
211,2.4454838e-08
212,0.011499799
213,0.58584607
214,0.43833637
215,0.11314761
216,0.029367309
217,0.04376174
218,4.8708333e-08
219,0.029367309
220,3.1779366e-09
221,0.029367309
222,0.1286928
223,0.7873635
224,0.029367309
225,4.884421e-07
226,0.3298578
227,0.5491488
228,0.36938876
229,0.029367309
230,0.029367309
231,0.030731695
232,0.029367309
233,0.053310666
234,0.49418572
235,0.06164564
236,0.92358065
237,9.6106e-08
238,0.09102576
239,0.1699858
240,0.029367309
241,0.8330932
242,0.029367309
243,0.93220073
244,0.029367309
245,0.08268008
246,0.10731542
247,0.7975575
248,0.029367309
249,0.072186634
250,0.18382058
251,0.0330448
252,0.8271344
253,0.029367309
254,0.029367309
255,0.84679013
256,0.029899836
257,0.029367309
258,0.029367309
259,0.029367309
260,0.51209295
261,0.4398227
262,0.050867938
263,5.9266334e-09
264,1.8700946e-07
265,0.029367309
266,0.05967176
267,0.029367309
268,0.029367309
269,0.50068307
270,0.010921734
271,0.029367309
272,0.029367309
273,0.76712805
274,2.4902456e-09
275,0.11568844
276,0.029367309
277,0.046999548
278,0.41596863
279,0.029367309
280,0.029367309
281,0.49018458
282,0.029367309
283,0.029367309
284,0.050283693
285,0.23239866
286,0.0905955
287,0.5217066
288,0.7348762
289,0.065266475
290,0.08470666
291,0.029367309
292,7.003932e-16
293,0.14068383
294,0.0067374418
295,0.98526853
296,0.029367309
297,0.98338723
298,0.06961729
299,0.029367309
300,0.029367309
301,0.1924001
302,0.5205137
303,0.4269485
304,0.0010749763
305,0.0010933414
306,0.029367309
307,0.0053487886
308,0.029367309
309,0.12884077
310,0.029367309
311,0.029367309
312,6.553797e-05
313,0.22353722
314,0.06950864
315,1.3491142e-07
316,0.12803306
317,0.029367309
318,0.029367309
319,0.029367309
320,0.029367309
321,4.8068656e-23
322,0.5759493
323,0.60668254
324,0.6273027
325,2.3686674e-07
326,0.029367309
327,0.3204475
328,0.029367309
329,0.33236435
330,0.7518446
331,0.34586203
332,0.4835084
333,0.029367309
334,0.029367309
335,0.54030246
336,5.8138166e-14
337,0.5979302
338,0.029367309
339,0.029367309
340,0.034374595
341,0.029367309
342,0.33119696
343,0.029367309
344,0.72648215
345,0.17358012
346,0.029367309
347,0.029367309
348,0.029367309
349,0.34936416
350,9.071431e-18
351,0.029367309
352,0.029367309
353,0.13837054
354,0.029367309
355,0.0048376904
356,0.4186645
357,0.029367309
358,0.08201983
359,5.4455127e-06
360,0.029367309
361,0.029367309
362,0.55639344
363,0.029367309
364,0.43881598
365,0.108909786
366,0.3962751
367,0.031611256
368,0.18557398
369,0.029367309
370,0.0035476477
371,0.029367309
372,0.029367309
373,0.008060283
374,0.25521347
375,0.029367309
376,0.057057686
377,0.029367309
378,0.029367309
379,0.029367309
380,0.11041538
381,0.029367309
382,0.029367309
383,0.029367309
384,4.653121e-08
385,0.24530716
386,0.029367309
387,0.029367309
388,0.052386984
389,0.029367309
390,0.029367309
391,0.029367309
392,8.643222e-17
393,0.5940141
394,0.27583167
395,0.029367309
396,0.029367309
397,0.06643509
398,0.029367309
399,0.029367309
400,0.029367309
401,0.029367309
402,0.029367309
403,0.029367309
404,0.029367309
405,4.649874e-12
406,0.029367309
407,0.029367309
408,0.3301281
409,5.112296e-12
410,0.029367309
411,0.029367309
412,0.029367309
413,0.029367309
414,0.029367309
415,2.5135156e-05
416,0.029367309
417,0.029367309
418,0.0038749895
419,0.029615955
420,0.029367309
421,0.1588591
422,0.029367309
423,0.3842804
424,0.029367309
425,0.029367309
426,9.735522e-12
427,0.029367309
428,0.029367309
429,0.029367309
430,0.32106218
431,0.31470627
432,7.972582e-10
433,0.029367309
434,8.896759e-17
435,0.10319456
436,0.084571145
437,0.029367309
438,0.25132555
439,0.029367309
440,0.029367309
441,0.24214861
442,0.0045942646
443,0.15494552
444,0.040693223
445,0.029367309
446,0.00042969317
447,0.029367309
448,0.029367309
449,0.18726943
450,0.029367309
451,0.584453
452,0.029367309
453,0.029367309
454,0.50104374
455,0.029367309
456,0.029367309
457,0.029367309
458,0.9890765
459,0.20427817
460,2.1084072e-05
461,0.029367309
462,0.029367309
463,0.029367309
464,0.029367309
465,1.4245857e-09
466,0.029367309
467,0.75300467
468,0.94122106
469,0.13360246
